Company,City,Robot_Type,Department,Tasks_Assigned,Tasks_Completed,Completion_Rate,Date,Robot_Status
Tasnee,Madinah,Cleaning Robot,IT,40,32,80.0,2024-05-01,Active
Alhokair Group,Dammam,Sorting Robot,Logistics,274,239,87.2,2024-01-11,Under Repair
Saudi German Hospital,Jubail,Delivery Robot,Healthcare,85,77,90.6,2024-05-12,Active
STC,Abha,Task Organizer,Administration,253,207,81.8,2024-01-01,Needs Maintenance
King Saud University,Jubail,Service Robot,Administration,103,101,98.1,2024-05-05,Active
SABIC,Riyadh,Task Organizer,Healthcare,178,143,80.3,2024-04-11,Active
Saudi Aramco,Dhahran,Medical Assistant,Customer Service,69,68,98.6,2024-03-07,Active
Dar Al Riyadh,Al Kharj,Delivery Robot,Facility Management,108,108,100.0,2024-02-28,Inactive
Saudi Red Crescent,Madinah,Medical Assistant,Facility Management,226,209,92.5,2024-02-25,Active
SABIC,Abha,Service Robot,Facility Management,71,67,94.4,2024-03-25,Active
Riyadh Airports,Jeddah,Inspection Robot,Security,200,188,94.0,2024-03-07,Active
Saudi Electricity Company,Jubail,Service Robot,Healthcare,130,117,90.0,2024-01-14,Active
Binladin Group,Al Kharj,Task Organizer,Logistics,127,120,94.5,2024-05-12,Active
King Saud University,Al Kharj,Inspection Robot,Logistics,141,132,93.6,2024-01-14,Active
Saudi Post,Madinah,Inspection Robot,Administration,125,115,92.0,2024-04-27,Inactive
Saudi German Hospital,Al Kharj,Service Robot,Healthcare,259,239,92.3,2024-04-17,Active
STC,Al Kharj,Service Robot,Healthcare,66,60,90.9,2024-02-10,Active
SABIC,Jubail,Cleaning Robot,Administration,36,33,91.7,2024-01-10,Active
Riyadh Airports,Al Kharj,Sorting Robot,Customer Service,54,47,87.0,2024-01-27,Active
Mobily,Dammam,Service Robot,Customer Service,35,32,91.4,2024-01-03,Active
Dar Al Riyadh,Dammam,Inspection Robot,Administration,278,257,92.4,2024-01-10,Active
Dar Al Riyadh,Abha,Delivery Robot,Logistics,271,227,83.8,2024-01-08,Active
Almarai,Dhahran,Inspection Robot,Customer Service,253,208,82.2,2024-03-02,Active
King Fahd Medical City,Madinah,Inspection Robot,Administration,132,110,83.3,2024-01-12,Active
Tasnee,Mecca,Medical Assistant,Healthcare,212,179,84.4,2024-01-07,Inactive
Almarai,Abha,Service Robot,Facility Management,269,252,93.7,2024-02-04,Active
Alhokair Group,Tabuk,Task Organizer,Logistics,182,164,90.1,2024-04-28,Active
Mobily,Abha,Medical Assistant,Production,162,149,92.0,2024-01-03,Active
Riyadh Airports,Dammam,Cleaning Robot,Customer Service,200,192,96.0,2024-02-29,Active
Alinma Bank,Al Kharj,Delivery Robot,Healthcare,275,258,93.8,2024-01-20,Active
Riyadh Airports,Mecca,Delivery Robot,Security,138,120,87.0,2024-04-12,Active
STC,Al Kharj,Medical Assistant,Logistics,242,194,80.2,2024-05-10,Active
Ma'aden,Jubail,Delivery Robot,IT,106,101,95.3,2024-04-04,Active
National Water Company,Al Kharj,Delivery Robot,IT,250,230,92.0,2024-04-22,Inactive
Al Rajhi Bank,Madinah,Cleaning Robot,Customer Service,170,144,84.7,2024-04-17,Under Repair
Mobily,Al Kharj,Inspection Robot,Facility Management,262,211,80.5,2024-02-04,Inactive
Saudi Aramco,Mecca,Sorting Robot,Customer Service,180,158,87.8,2024-03-01,Active
STC,Abha,Inspection Robot,Customer Service,256,206,80.5,2024-02-22,Active
Alhokair Group,Dammam,Sorting Robot,Security,243,204,84.0,2024-05-01,Active
Al Rajhi Bank,Dhahran,Delivery Robot,Customer Service,294,263,89.5,2024-01-06,Needs Maintenance
SABIC,Dhahran,Delivery Robot,Production,100,93,93.0,2024-01-22,Active
King Fahd Medical City,Riyadh,Medical Assistant,Customer Service,74,66,89.2,2024-04-03,Active
STC,Abha,Cleaning Robot,Security,146,134,91.8,2024-01-02,Active
STC,Dammam,Medical Assistant,Production,130,121,93.1,2024-01-04,Inactive
Alinma Bank,Abha,Inspection Robot,Administration,230,222,96.5,2024-03-02,Under Repair
Mobily,Riyadh,Medical Assistant,Security,267,264,98.9,2024-05-09,Active
Mobily,Al Kharj,Service Robot,Customer Service,182,154,84.6,2024-05-10,Active
King Fahd Medical City,Jeddah,Delivery Robot,Facility Management,57,52,91.2,2024-02-09,Inactive
Saudi German Hospital,Jeddah,Sorting Robot,Security,35,30,85.7,2024-02-27,Needs Maintenance
Binladin Group,Mecca,Delivery Robot,Administration,66,57,86.4,2024-02-16,Needs Maintenance
Binladin Group,Dammam,Inspection Robot,Customer Service,249,215,86.3,2024-04-19,Active
STC,Riyadh,Inspection Robot,Administration,122,108,88.5,2024-04-13,Active
Binladin Group,Jubail,Sorting Robot,Production,241,207,85.9,2024-04-28,Active
Riyadh Airports,Mecca,Sorting Robot,Healthcare,153,144,94.1,2024-03-10,Active
National Water Company,Dammam,Sorting Robot,Healthcare,176,172,97.7,2024-05-05,Active
Al Rajhi Bank,Madinah,Service Robot,Security,283,238,84.1,2024-02-01,Active
Almarai,Jeddah,Inspection Robot,Security,276,225,81.5,2024-02-01,Active
SABIC,Abha,Inspection Robot,Healthcare,87,86,98.9,2024-05-12,Inactive
Saudi Red Crescent,Abha,Medical Assistant,Security,69,59,85.5,2024-04-27,Active
Binladin Group,Dammam,Delivery Robot,Logistics,137,128,93.4,2024-01-07,Active
SABIC,Riyadh,Service Robot,Healthcare,80,80,100.0,2024-05-17,Active
Ma'aden,Abha,Sorting Robot,Administration,221,189,85.5,2024-04-19,Active
STC,Jubail,Sorting Robot,Security,37,31,83.8,2024-03-16,Needs Maintenance
SABIC,Dammam,Inspection Robot,Security,253,227,89.7,2024-04-02,Active
Tasnee,Jeddah,Medical Assistant,Healthcare,260,228,87.7,2024-04-17,Active
Saudi German Hospital,Jubail,Delivery Robot,IT,143,138,96.5,2024-01-01,Needs Maintenance
Saudi German Hospital,Riyadh,Inspection Robot,Healthcare,296,286,96.6,2024-04-02,Inactive
Almarai,Riyadh,Delivery Robot,Healthcare,133,113,85.0,2024-02-29,Needs Maintenance
Tasnee,Madinah,Medical Assistant,Production,40,39,97.5,2024-04-14,Active
Almarai,Mecca,Cleaning Robot,Healthcare,120,101,84.2,2024-03-24,Active
Saudi Electricity Company,Dammam,Inspection Robot,Security,113,105,92.9,2024-02-28,Under Repair
King Saud University,Jeddah,Task Organizer,Healthcare,224,223,99.6,2024-04-27,Active
Saudi Post,Tabuk,Cleaning Robot,Customer Service,45,41,91.1,2024-02-15,Active
Saudi Aramco,Al Kharj,Sorting Robot,Production,92,78,84.8,2024-03-09,Active
Almarai,Abha,Sorting Robot,IT,293,236,80.5,2024-05-08,Under Repair
Binladin Group,Al Kharj,Medical Assistant,Customer Service,231,187,81.0,2024-01-12,Active
Saudi Red Crescent,Jubail,Inspection Robot,Administration,64,60,93.8,2024-05-05,Active
Saudi Red Crescent,Abha,Delivery Robot,IT,127,108,85.0,2024-01-06,Active
Dar Al Riyadh,Madinah,Inspection Robot,IT,122,122,100.0,2024-01-31,Active
STC,Riyadh,Inspection Robot,IT,114,101,88.6,2024-01-05,Active
Dar Al Riyadh,Jubail,Inspection Robot,Security,268,247,92.2,2024-05-06,Inactive
King Saud University,Abha,Delivery Robot,Production,172,159,92.4,2024-05-12,Active
King Fahd Medical City,Al Kharj,Medical Assistant,Security,60,58,96.7,2024-02-03,Needs Maintenance
Riyadh Airports,Tabuk,Service Robot,Healthcare,283,252,89.0,2024-03-17,Under Repair
STC,Jubail,Inspection Robot,Customer Service,297,276,92.9,2024-03-12,Active
National Water Company,Abha,Service Robot,Logistics,38,36,94.7,2024-01-02,Active
King Fahd Medical City,Dammam,Inspection Robot,Production,137,112,81.8,2024-05-13,Active
Dar Al Riyadh,Jubail,Medical Assistant,Facility Management,221,186,84.2,2024-04-20,Active
Alhokair Group,Dammam,Delivery Robot,Healthcare,225,181,80.4,2024-03-08,Active
Saudi Aramco,Madinah,Cleaning Robot,Security,128,103,80.5,2024-03-09,Inactive
Binladin Group,Dammam,Task Organizer,Security,72,65,90.3,2024-04-16,Active
Saudi Red Crescent,Al Kharj,Service Robot,Logistics,83,82,98.8,2024-01-06,Active
Saudi Post,Mecca,Medical Assistant,Logistics,109,108,99.1,2024-03-30,Active
Saudi German Hospital,Abha,Cleaning Robot,Healthcare,34,29,85.3,2024-04-24,Active
Binladin Group,Dhahran,Task Organizer,Facility Management,119,98,82.4,2024-02-20,Active
Saudi Aramco,Dammam,Cleaning Robot,Healthcare,136,125,91.9,2024-05-02,Needs Maintenance
Almarai,Jubail,Cleaning Robot,Logistics,49,46,93.9,2024-02-07,Inactive
Riyadh Airports,Dhahran,Sorting Robot,Logistics,297,281,94.6,2024-04-20,Active
King Saud University,Riyadh,Task Organizer,Administration,273,248,90.8,2024-04-27,Active
Mobily,Jeddah,Medical Assistant,Logistics,222,208,93.7,2024-01-19,Active
Saudi Electricity Company,Abha,Service Robot,Logistics,227,199,87.7,2024-01-23,Needs Maintenance
Saudi Electricity Company,Riyadh,Cleaning Robot,Administration,262,262,100.0,2024-01-09,Active
Alinma Bank,Jeddah,Sorting Robot,Production,71,62,87.3,2024-01-24,Needs Maintenance
Mobily,Tabuk,Medical Assistant,Healthcare,85,71,83.5,2024-05-04,Active
Mobily,Dammam,Sorting Robot,Facility Management,39,39,100.0,2024-05-15,Active
Saudi Electricity Company,Dammam,Inspection Robot,Logistics,136,128,94.1,2024-01-31,Active
Mobily,Abha,Service Robot,Production,299,279,93.3,2024-03-13,Under Repair
Dar Al Riyadh,Tabuk,Service Robot,Administration,241,214,88.8,2024-04-28,Active
SABIC,Al Kharj,Sorting Robot,Facility Management,140,120,85.7,2024-03-05,Active
Saudi Red Crescent,Jubail,Delivery Robot,IT,153,129,84.3,2024-01-04,Needs Maintenance
Alhokair Group,Dhahran,Delivery Robot,Security,250,241,96.4,2024-02-06,Active
National Water Company,Madinah,Cleaning Robot,Customer Service,107,87,81.3,2024-02-19,Active
Alhokair Group,Al Kharj,Sorting Robot,Administration,162,161,99.4,2024-03-14,Inactive
Saudi Electricity Company,Madinah,Cleaning Robot,Production,193,190,98.4,2024-04-07,Active
Saudi Electricity Company,Dhahran,Inspection Robot,Production,293,243,82.9,2024-03-05,Needs Maintenance
King Fahd Medical City,Madinah,Task Organizer,Production,36,32,88.9,2024-05-02,Active
Binladin Group,Mecca,Sorting Robot,Security,196,182,92.9,2024-04-10,Active
Tasnee,Mecca,Service Robot,Administration,77,72,93.5,2024-05-05,Active
Saudi Aramco,Tabuk,Inspection Robot,Healthcare,221,202,91.4,2024-02-14,Under Repair
King Saud University,Abha,Inspection Robot,Healthcare,110,107,97.3,2024-04-18,Active
Alinma Bank,Jeddah,Inspection Robot,Logistics,216,210,97.2,2024-02-03,Active
Ma'aden,Madinah,Inspection Robot,Security,112,100,89.3,2024-03-03,Active
Al Rajhi Bank,Abha,Service Robot,Facility Management,260,256,98.5,2024-02-01,Needs Maintenance
SABIC,Riyadh,Sorting Robot,Healthcare,163,140,85.9,2024-05-02,Inactive
Riyadh Airports,Tabuk,Delivery Robot,Customer Service,92,87,94.6,2024-04-28,Active
Saudi Post,Dammam,Delivery Robot,Healthcare,267,230,86.1,2024-04-23,Active
Tasnee,Madinah,Task Organizer,Logistics,150,146,97.3,2024-03-04,Active
Almarai,Mecca,Cleaning Robot,Customer Service,145,145,100.0,2024-04-18,Under Repair
SABIC,Riyadh,Task Organizer,Healthcare,263,231,87.8,2024-03-21,Active
Ma'aden,Jubail,Service Robot,IT,103,96,93.2,2024-01-08,Active
Alinma Bank,Jubail,Sorting Robot,Customer Service,84,70,83.3,2024-01-16,Active
Saudi Aramco,Jeddah,Cleaning Robot,Security,180,144,80.0,2024-04-10,Needs Maintenance
Alinma Bank,Tabuk,Task Organizer,Healthcare,296,290,98.0,2024-02-23,Active
Al Rajhi Bank,Al Kharj,Task Organizer,Facility Management,220,191,86.8,2024-03-24,Active
Saudi German Hospital,Al Kharj,Delivery Robot,Customer Service,224,188,83.9,2024-02-27,Active
Almarai,Dhahran,Delivery Robot,Facility Management,211,205,97.2,2024-03-12,Active
Alinma Bank,Mecca,Inspection Robot,Healthcare,189,160,84.7,2024-02-15,Active
SABIC,Abha,Cleaning Robot,Logistics,260,251,96.5,2024-01-24,Active
Dar Al Riyadh,Abha,Delivery Robot,Production,153,142,92.8,2024-02-27,Active
Alinma Bank,Dhahran,Medical Assistant,IT,79,69,87.3,2024-02-13,Active
Alinma Bank,Jubail,Task Organizer,IT,62,51,82.3,2024-02-19,Inactive
Riyadh Airports,Riyadh,Sorting Robot,Administration,102,98,96.1,2024-02-11,Active
Binladin Group,Jeddah,Task Organizer,IT,106,87,82.1,2024-04-09,Active
Al Rajhi Bank,Dhahran,Task Organizer,Facility Management,286,279,97.6,2024-02-05,Active
Mobily,Tabuk,Task Organizer,Administration,99,83,83.8,2024-03-09,Active
Al Rajhi Bank,Tabuk,Cleaning Robot,Logistics,65,57,87.7,2024-02-02,Active
Binladin Group,Mecca,Sorting Robot,Logistics,214,180,84.1,2024-02-21,Needs Maintenance
Saudi Red Crescent,Jubail,Delivery Robot,IT,63,58,92.1,2024-01-23,Active
Riyadh Airports,Abha,Service Robot,IT,193,172,89.1,2024-01-28,Active
National Water Company,Dhahran,Service Robot,IT,102,94,92.2,2024-02-18,Active
Mobily,Mecca,Task Organizer,Security,139,115,82.7,2024-02-20,Active
Saudi Electricity Company,Mecca,Medical Assistant,IT,291,260,89.3,2024-02-09,Active
Saudi Red Crescent,Jeddah,Medical Assistant,Security,251,217,86.5,2024-03-15,Active
National Water Company,Tabuk,Sorting Robot,Production,87,81,93.1,2024-04-29,Active
Saudi German Hospital,Abha,Sorting Robot,Logistics,67,62,92.5,2024-02-28,Active
Saudi German Hospital,Dammam,Inspection Robot,Production,244,237,97.1,2024-05-13,Active
Saudi Aramco,Madinah,Medical Assistant,Customer Service,266,228,85.7,2024-02-22,Active
King Fahd Medical City,Riyadh,Delivery Robot,Customer Service,31,25,80.6,2024-05-16,Active
Ma'aden,Abha,Delivery Robot,Security,225,189,84.0,2024-02-22,Active
Binladin Group,Madinah,Delivery Robot,Healthcare,149,145,97.3,2024-05-20,Needs Maintenance
King Saud University,Madinah,Cleaning Robot,Security,249,220,88.4,2024-02-27,Active
Saudi Post,Jeddah,Task Organizer,Facility Management,121,119,98.3,2024-01-21,Inactive
Almarai,Dammam,Service Robot,Administration,201,161,80.1,2024-04-26,Active
King Saud University,Riyadh,Sorting Robot,Administration,296,274,92.6,2024-05-01,Needs Maintenance
Saudi Red Crescent,Abha,Delivery Robot,Logistics,135,122,90.4,2024-01-26,Active
Saudi Electricity Company,Riyadh,Inspection Robot,Customer Service,116,110,94.8,2024-04-23,Inactive
Saudi German Hospital,Tabuk,Medical Assistant,Administration,188,174,92.6,2024-03-08,Active
National Water Company,Dhahran,Service Robot,Logistics,207,203,98.1,2024-02-26,Active
Tasnee,Dammam,Service Robot,Security,214,193,90.2,2024-02-26,Active
King Saud University,Tabuk,Inspection Robot,IT,169,155,91.7,2024-01-25,Needs Maintenance
STC,Dammam,Inspection Robot,Facility Management,176,150,85.2,2024-03-20,Under Repair
Mobily,Dammam,Task Organizer,Security,289,287,99.3,2024-02-05,Active
SABIC,Dhahran,Service Robot,Production,282,257,91.1,2024-01-19,Active
King Saud University,Tabuk,Delivery Robot,Customer Service,89,74,83.1,2024-01-19,Inactive
King Fahd Medical City,Tabuk,Inspection Robot,Healthcare,76,73,96.1,2024-03-26,Under Repair
Alinma Bank,Al Kharj,Medical Assistant,Security,250,211,84.4,2024-02-22,Active
Al Rajhi Bank,Abha,Sorting Robot,Logistics,282,263,93.3,2024-02-12,Active
Almarai,Jeddah,Cleaning Robot,Security,253,244,96.4,2024-04-12,Active
Mobily,Riyadh,Service Robot,Production,173,157,90.8,2024-05-15,Active
Ma'aden,Mecca,Delivery Robot,IT,219,178,81.3,2024-03-21,Active
King Fahd Medical City,Tabuk,Medical Assistant,Logistics,93,85,91.4,2024-01-08,Active
Mobily,Dhahran,Service Robot,Production,114,102,89.5,2024-01-04,Active
Tasnee,Riyadh,Medical Assistant,Customer Service,88,72,81.8,2024-02-01,Active
Mobily,Mecca,Inspection Robot,Logistics,174,172,98.9,2024-05-10,Active
Dar Al Riyadh,Jubail,Task Organizer,IT,201,198,98.5,2024-03-15,Active
Alinma Bank,Mecca,Service Robot,Healthcare,148,139,93.9,2024-04-02,Active
King Fahd Medical City,Madinah,Cleaning Robot,Logistics,198,198,100.0,2024-01-03,Active
Saudi German Hospital,Madinah,Cleaning Robot,Customer Service,86,84,97.7,2024-05-13,Active
Tasnee,Madinah,Delivery Robot,IT,31,31,100.0,2024-01-10,Active
National Water Company,Jubail,Delivery Robot,Customer Service,253,231,91.3,2024-02-28,Active
Saudi Aramco,Riyadh,Delivery Robot,Security,202,201,99.5,2024-01-26,Inactive
Saudi Red Crescent,Jeddah,Medical Assistant,Logistics,225,203,90.2,2024-01-15,Active
Alhokair Group,Abha,Task Organizer,Administration,216,188,87.0,2024-02-21,Active
Alinma Bank,Tabuk,Cleaning Robot,Administration,91,88,96.7,2024-01-06,Active
Al Rajhi Bank,Madinah,Medical Assistant,IT,290,274,94.5,2024-03-28,Inactive
Binladin Group,Abha,Cleaning Robot,Production,294,244,83.0,2024-03-11,Active
Mobily,Dhahran,Service Robot,Healthcare,244,226,92.6,2024-01-22,Needs Maintenance
King Fahd Medical City,Tabuk,Task Organizer,IT,71,61,85.9,2024-03-01,Active
Saudi German Hospital,Mecca,Sorting Robot,Logistics,117,100,85.5,2024-03-26,Active
Riyadh Airports,Dhahran,Medical Assistant,Logistics,298,278,93.3,2024-04-16,Inactive
Alinma Bank,Al Kharj,Service Robot,Healthcare,99,81,81.8,2024-02-12,Needs Maintenance
National Water Company,Jeddah,Delivery Robot,Customer Service,268,238,88.8,2024-02-22,Needs Maintenance
Al Rajhi Bank,Dhahran,Cleaning Robot,IT,89,88,98.9,2024-05-06,Needs Maintenance
Mobily,Al Kharj,Sorting Robot,IT,294,277,94.2,2024-02-16,Active
Riyadh Airports,Dhahran,Service Robot,Customer Service,184,183,99.5,2024-03-11,Active
Saudi Post,Tabuk,Delivery Robot,Customer Service,84,77,91.7,2024-02-10,Active
King Saud University,Jeddah,Delivery Robot,Customer Service,251,220,87.6,2024-01-03,Active
Binladin Group,Jeddah,Delivery Robot,Production,201,174,86.6,2024-03-30,Active
Alinma Bank,Al Kharj,Cleaning Robot,Facility Management,291,242,83.2,2024-05-13,Active
SABIC,Madinah,Sorting Robot,Logistics,193,183,94.8,2024-05-14,Active
Saudi Electricity Company,Riyadh,Sorting Robot,Facility Management,279,263,94.3,2024-04-02,Active
SABIC,Al Kharj,Delivery Robot,Facility Management,110,96,87.3,2024-03-15,Inactive
Binladin Group,Abha,Sorting Robot,IT,205,197,96.1,2024-04-01,Active
Almarai,Riyadh,Sorting Robot,Logistics,77,67,87.0,2024-03-31,Active
Saudi Post,Riyadh,Inspection Robot,Production,268,259,96.6,2024-04-04,Active
Binladin Group,Dhahran,Inspection Robot,Logistics,201,187,93.0,2024-01-25,Active
King Saud University,Jeddah,Sorting Robot,Customer Service,81,68,84.0,2024-03-12,Active
Tasnee,Dhahran,Sorting Robot,Security,57,47,82.5,2024-04-25,Active
Binladin Group,Al Kharj,Delivery Robot,Logistics,59,49,83.1,2024-01-19,Active
Alinma Bank,Tabuk,Service Robot,Facility Management,82,73,89.0,2024-02-24,Active
National Water Company,Dammam,Inspection Robot,Administration,111,104,93.7,2024-04-04,Active
Mobily,Tabuk,Medical Assistant,Logistics,249,229,92.0,2024-03-25,Active
Mobily,Jubail,Delivery Robot,Administration,231,224,97.0,2024-02-15,Active
Mobily,Abha,Task Organizer,IT,132,116,87.9,2024-03-23,Active
Binladin Group,Jubail,Service Robot,Production,124,124,100.0,2024-01-23,Active
SABIC,Dammam,Cleaning Robot,Customer Service,76,66,86.8,2024-02-26,Active
Alinma Bank,Madinah,Task Organizer,IT,141,121,85.8,2024-01-01,Active
Saudi Aramco,Madinah,Inspection Robot,Administration,137,131,95.6,2024-04-01,Needs Maintenance
Riyadh Airports,Jubail,Delivery Robot,Logistics,259,224,86.5,2024-01-21,Under Repair
Saudi Post,Jubail,Task Organizer,Customer Service,31,29,93.5,2024-04-20,Active
Ma'aden,Jeddah,Task Organizer,Facility Management,137,118,86.1,2024-05-08,Inactive
Alhokair Group,Dammam,Inspection Robot,Security,204,174,85.3,2024-03-23,Active
Ma'aden,Tabuk,Sorting Robot,Healthcare,283,273,96.5,2024-03-23,Active
Alinma Bank,Mecca,Inspection Robot,Production,106,91,85.8,2024-05-16,Needs Maintenance
Saudi German Hospital,Al Kharj,Medical Assistant,Healthcare,83,83,100.0,2024-03-21,Active
Riyadh Airports,Madinah,Medical Assistant,IT,265,246,92.8,2024-03-12,Active
Riyadh Airports,Dammam,Sorting Robot,Production,300,283,94.3,2024-05-08,Active
Saudi Red Crescent,Dhahran,Cleaning Robot,Facility Management,69,68,98.6,2024-05-12,Active
Saudi Electricity Company,Riyadh,Service Robot,Production,146,128,87.7,2024-01-14,Active
Saudi Red Crescent,Madinah,Cleaning Robot,Customer Service,118,117,99.2,2024-02-08,Active
Saudi Red Crescent,Jeddah,Sorting Robot,Healthcare,153,151,98.7,2024-01-21,Under Repair
Saudi Electricity Company,Jubail,Service Robot,Administration,236,228,96.6,2024-03-29,Active
Al Rajhi Bank,Madinah,Medical Assistant,Customer Service,261,220,84.3,2024-02-09,Under Repair
Saudi Electricity Company,Riyadh,Inspection Robot,Logistics,255,252,98.8,2024-04-07,Active
Saudi Aramco,Dammam,Cleaning Robot,Production,43,43,100.0,2024-04-09,Active
Saudi Red Crescent,Dhahran,Cleaning Robot,Healthcare,65,63,96.9,2024-02-25,Active
National Water Company,Dhahran,Cleaning Robot,Customer Service,180,159,88.3,2024-02-18,Needs Maintenance
Saudi Electricity Company,Riyadh,Delivery Robot,Facility Management,121,100,82.6,2024-03-31,Active
SABIC,Mecca,Medical Assistant,Facility Management,286,264,92.3,2024-03-05,Active
Tasnee,Jubail,Service Robot,Production,77,65,84.4,2024-03-31,Active
Mobily,Jeddah,Cleaning Robot,Administration,207,200,96.6,2024-01-24,Active
Dar Al Riyadh,Madinah,Task Organizer,Facility Management,144,126,87.5,2024-05-13,Active
Saudi Aramco,Jubail,Medical Assistant,Administration,299,285,95.3,2024-04-15,Active
Saudi Electricity Company,Jubail,Inspection Robot,Logistics,233,232,99.6,2024-02-19,Active
King Fahd Medical City,Al Kharj,Cleaning Robot,Healthcare,92,91,98.9,2024-01-15,Active
Saudi Aramco,Al Kharj,Delivery Robot,Healthcare,39,39,100.0,2024-01-01,Active
King Saud University,Mecca,Medical Assistant,Production,45,44,97.8,2024-04-14,Active
Mobily,Jeddah,Task Organizer,Customer Service,177,153,86.4,2024-04-27,Active
Saudi German Hospital,Al Kharj,Medical Assistant,Administration,283,273,96.5,2024-03-11,Active
Mobily,Abha,Task Organizer,Security,187,161,86.1,2024-03-23,Active
Mobily,Mecca,Medical Assistant,Administration,44,41,93.2,2024-01-25,Active
Saudi Red Crescent,Jubail,Sorting Robot,Logistics,208,191,91.8,2024-03-17,Active
Dar Al Riyadh,Jubail,Inspection Robot,Customer Service,93,82,88.2,2024-02-24,Needs Maintenance
Mobily,Madinah,Cleaning Robot,Healthcare,223,202,90.6,2024-01-20,Active
Riyadh Airports,Jeddah,Medical Assistant,Logistics,57,49,86.0,2024-04-05,Needs Maintenance
Dar Al Riyadh,Dammam,Inspection Robot,Production,231,192,83.1,2024-05-04,Active
Riyadh Airports,Al Kharj,Service Robot,Facility Management,115,107,93.0,2024-05-01,Needs Maintenance
King Fahd Medical City,Mecca,Task Organizer,Facility Management,183,178,97.3,2024-03-02,Active
SABIC,Riyadh,Service Robot,Healthcare,190,154,81.1,2024-04-29,Active
Saudi Electricity Company,Abha,Service Robot,Customer Service,58,55,94.8,2024-05-05,Under Repair
SABIC,Madinah,Cleaning Robot,Logistics,275,271,98.5,2024-01-09,Active
Riyadh Airports,Abha,Medical Assistant,Logistics,266,220,82.7,2024-03-30,Active
Al Rajhi Bank,Tabuk,Sorting Robot,Healthcare,245,217,88.6,2024-03-29,Active
STC,Abha,Service Robot,Administration,71,57,80.3,2024-05-10,Active
Ma'aden,Al Kharj,Service Robot,Production,79,74,93.7,2024-02-15,Needs Maintenance
Alhokair Group,Dhahran,Task Organizer,Customer Service,189,164,86.8,2024-05-13,Active
King Fahd Medical City,Madinah,Service Robot,Customer Service,146,143,97.9,2024-01-04,Active
Ma'aden,Abha,Service Robot,Customer Service,267,233,87.3,2024-05-14,Active
King Fahd Medical City,Al Kharj,Inspection Robot,Administration,178,156,87.6,2024-02-28,Active
Alhokair Group,Jubail,Delivery Robot,Production,117,102,87.2,2024-01-16,Active
SABIC,Riyadh,Delivery Robot,Security,115,114,99.1,2024-03-04,Inactive
Ma'aden,Riyadh,Service Robot,Facility Management,228,207,90.8,2024-05-16,Active
STC,Madinah,Sorting Robot,Healthcare,58,57,98.3,2024-05-04,Needs Maintenance
Saudi Red Crescent,Mecca,Task Organizer,Administration,224,215,96.0,2024-01-17,Active
Dar Al Riyadh,Dhahran,Task Organizer,Healthcare,99,82,82.8,2024-02-01,Needs Maintenance
Mobily,Jubail,Cleaning Robot,Customer Service,116,109,94.0,2024-03-05,Under Repair
Alinma Bank,Madinah,Task Organizer,Security,61,55,90.2,2024-01-25,Active
Alinma Bank,Dhahran,Service Robot,Production,215,194,90.2,2024-01-05,Active
Almarai,Jubail,Task Organizer,Production,184,177,96.2,2024-02-21,Active
Almarai,Abha,Service Robot,IT,260,230,88.5,2024-03-18,Active
Alhokair Group,Dhahran,Delivery Robot,Security,101,93,92.1,2024-02-04,Active
Alinma Bank,Madinah,Inspection Robot,Administration,211,174,82.5,2024-02-10,Active
King Fahd Medical City,Dammam,Sorting Robot,Security,186,180,96.8,2024-01-20,Inactive
Ma'aden,Dhahran,Medical Assistant,Customer Service,282,248,87.9,2024-05-05,Inactive
Dar Al Riyadh,Dammam,Cleaning Robot,Logistics,58,55,94.8,2024-03-31,Active
King Fahd Medical City,Madinah,Service Robot,Healthcare,120,97,80.8,2024-04-02,Active
Binladin Group,Jeddah,Task Organizer,Production,80,67,83.8,2024-03-12,Active
National Water Company,Dammam,Cleaning Robot,Customer Service,209,195,93.3,2024-02-01,Active
Almarai,Riyadh,Medical Assistant,Customer Service,203,180,88.7,2024-04-04,Active
Dar Al Riyadh,Jeddah,Delivery Robot,Facility Management,226,208,92.0,2024-02-18,Active
SABIC,Tabuk,Delivery Robot,Security,296,256,86.5,2024-04-02,Active
STC,Dhahran,Inspection Robot,Customer Service,273,244,89.4,2024-04-12,Active
Tasnee,Tabuk,Task Organizer,IT,87,81,93.1,2024-01-14,Needs Maintenance
Alinma Bank,Jubail,Service Robot,Logistics,81,73,90.1,2024-03-30,Needs Maintenance
Saudi German Hospital,Riyadh,Inspection Robot,Facility Management,113,109,96.5,2024-03-13,Needs Maintenance
Saudi Aramco,Al Kharj,Inspection Robot,Logistics,82,79,96.3,2024-02-09,Active
STC,Dhahran,Task Organizer,Logistics,116,98,84.5,2024-02-25,Active
Saudi Post,Riyadh,Delivery Robot,Facility Management,212,197,92.9,2024-01-14,Active
Saudi Electricity Company,Madinah,Task Organizer,Logistics,225,211,93.8,2024-04-11,Active
King Saud University,Tabuk,Delivery Robot,Healthcare,158,154,97.5,2024-02-23,Active
Saudi German Hospital,Jeddah,Service Robot,IT,197,181,91.9,2024-03-17,Active
Mobily,Dhahran,Delivery Robot,Administration,205,167,81.5,2024-03-29,Inactive
Almarai,Madinah,Cleaning Robot,Production,66,64,97.0,2024-04-30,Active
